id_application,id_posting,id_resume_outcome,callback,heightrequired,jobgenderoptions,,photo_gender,photo_num,photo,avg_rating,share_num6p,share_num5p,share_num4p,attract_top25,attract_top50,attract_top75,attract_top90,attract_top10,attract_above4_p50,attract_above4_p75,_weight,_height_ft,_height_in,,MenAttBins,MCBs,Photos,Rating,,WomenAttBins,WCBs,Photos,Rating,,,solonum,solorat,sologen,,,,,,,,
6900,"1,725",4,0,0,Both Male & Female,,Male,8,40,3.7346938,0.040816326,0.26530612,0.63265306,1,1,1,1,0,1,0,62,5,,,,,,,,,,,,,,24,3.3265307,Female,,5.75,0,,,,5.75,0
71,18,3,1,0,Both Male & Female,,Male,28,60,2.6122448,0.020408163,0.10204082,0.26530612,0,0,0,0,0,0,0,61,5,,,,,,,,,,,,,,25,2.8979592,Female,,6,0,,,,6,0
163,41,3,0,0,Both Male & Female,,Female,19,19,2.367347,0.020408163,0.040816326,0.14285715,0,0,0,0,0,0,0,51,5,,,,,,,,,,,,,,26,2.4285715,Female,,6.25,0,,,,6.25,0
206,52,2,1,0,Both Male & Female,,Female,10,10,3.0816326,0.020408163,0.040816326,0.34693879,0,0,1,1,0,0,0,51,5,,,,,,,,,,,,,,27,3.1020408,Female,,6.5,0,,,,6.5,0
130,33,2,1,0,Both Male & Female,,Female,21,21,3.1020408,0.040816326,0.1632653,0.30612245,0,0,1,1,0,0,0,47,5,,,,,,,,,,,,,,28,2.8163266,Female,,6.75,0,,,,6.75,0
542,136,2,1,0,Both Male & Female,,Male,18,50,3.4081633,0.020408163,0.1632653,0.53061223,0,1,1,1,0,1,0,63,5,,,,,,,,,,,,,,29,3.1632652,Female,,7,0,,,,7,0
176,44,4,1,0,Both Male & Female,,Male,11,43,2.7346938,0.020408163,0.06122449,0.22448979,0,0,0,1,0,0,0,62,5,,,,,,,,,,,,,,30,2.6938775,Female,,,,,,,,
5083,"1,271",3,1,0,Both Male & Female,,Male,29,61,2.8979592,0.020408163,0.10204082,0.30612245,0,0,1,1,0,0,0,67,5,,,,,,,,,,,,,,31,2.9387755,Female,,,,,,,,
503,126,3,1,0,Both Male & Female,,Female,12,12,3.6122448,0.06122449,0.32653061,0.51020408,0,1,1,1,0,1,0,51,5,,,,,,,,,,,,,,32,2.8163266,Male,,,,,,,,
119,30,3,0,0,Both Male & Female,,Male,26,58,2.5714285,0.020408163,0.12244898,0.20408164,0,0,0,0,0,0,0,63,5,,,,,,,,,,,,,,33,3.4693878,Male,,,,,,,,
741,186,1,1,0,Both Male & Female,,Male,27,59,4.0408163,0.081632651,0.36734694,0.71428573,1,1,1,1,0,1,0,65,5,,,,,,,,,,,,,,34,4.9591837,Male,,,,,,,,
547,137,3,0,0,Both Male & Female,,Male,10,42,3.6530612,0.040816326,0.2857143,0.55102038,1,1,1,1,0,1,0,65,5,,,,,,,,,,,,,,35,4.1836734,Male,,,,,,,,
3642,911,2,1,0,Both Male & Female,,Male,27,59,4.0408163,0.081632651,0.36734694,0.71428573,1,1,1,1,0,1,0,65,5,,,,,,,,,,,,,,36,3.1428571,Male,,,,,,,,
413,104,1,1,0,Both Male & Female,,Male,11,43,2.7346938,0.020408163,0.06122449,0.22448979,0,0,0,1,0,0,0,60,5,,,,,,,,,,,,,,37,2.632653,Male,,,,,,,,
6370,"1,593",2,0,0,Both Male & Female,,Male,28,60,2.6122448,0.020408163,0.10204082,0.26530612,0,0,0,0,0,0,0,64,5,6,,,,,,,,,,,,,38,2.2653062,Male,,,,,,,,
605,152,1,1,0,Both Male & Female,,Female,8,8,2.8163266,0.020408163,0.040816326,0.24489796,0,0,0,1,0,0,0,48,5,,,,,,,,,,,,,,39,2.8367348,Male,,,,,,,,
100,25,4,1,0,Both Male & Female,,Female,10,10,3.0816326,0.020408163,0.040816326,0.34693879,0,0,1,1,0,0,0,48,5,,,,,,,,,,,,,,40,3.7346938,Male,,,,,,,,
5109,"1,278",1,0,0,Both Male & Female,,Female,31,31,2.9387755,0,0.081632651,0.22448979,0,0,1,1,0,0,0,45,5,,,,,,,,,,,,,,41,3.3469388,Male,,,,,,,,
45,12,1,1,0,Both Male & Female,,Male,13,45,3.3265307,0.020408163,0.20408164,0.42857143,0,1,1,1,0,0,0,65,5,,,,,,,,,,,,,,42,3.6530612,Male,,,,,,,,
166,42,2,1,0,Both Male & Female,,Male,24,56,3.4693878,0.10204082,0.18367347,0.40816328,0,1,1,1,0,0,0,65,5,,,,,,,,,,,,,,43,2.7346938,Male,,,,,,,,
6598,"1,650",2,0,0,Both Male & Female,,Female,20,20,3.7346938,0.081632651,0.30612245,0.5714286,0,1,1,1,0,1,0,47,5,2,,,,,,,,,,,,,44,2.8163266,Male,,,,,,,,
157,40,1,1,0,Both Male & Female,,Male,16,48,2.8979592,0,0.081632651,0.30612245,0,0,1,1,0,0,0,59,5,,,,,,,,,,,,,,45,3.3265307,Male,,,,,,,,
4271,"1,068",3,1,0,Both Male & Female,,Female,1,1,3.9795918,0.10204082,0.34693879,0.63265306,1,1,1,1,0,1,0,48,5,,,,,,,,,,,,,,46,3.5102041,Male,,,,,,,,
180,45,4,1,0,Both Male & Female,,Male,3,35,4.1836734,0.14285715,0.34693879,0.73469388,1,1,1,1,1,1,0,60,5,,,,,,,,,,,,,,47,3.3265307,Male,,,,,,,,
142,36,2,1,0,Both Male & Female,,Male,15,47,3.3265307,0,0.18367347,0.44897959,0,1,1,1,0,0,0,59,5,,,,,,,,,,,,,,48,2.8979592,Male,,,,,,,,
